timestamp,vehicle_count,lag_1,lag_2,lag_3,day_of_week,hour
18/09/2025 02:35,0,0,0,0,Thursday,2
18/09/2025 02:35,0,0,0,0,Thursday,2
18/09/2025 02:40,0,0,0,0,Thursday,2
18/09/2025 14:25,6,0,0,0,Thursday,14
18/09/2025 14:25,6,6,0,0,Thursday,14
18/09/2025 14:30,20,6,6,0,Thursday,14
18/09/2025 14:30,20,20,6,6,Thursday,14
18/09/2025 14:35,15,20,20,6,Thursday,14
18/09/2025 14:35,15,15,20,20,Thursday,14
18/09/2025 14:40,10,15,15,20,Thursday,14
18/09/2025 14:40,10,10,15,15,Thursday,14
18/09/2025 14:45,12,10,10,15,Thursday,14
